Frame Index,True Label,Predicted Label
0,0,4
1,0,4
2,0,4
3,0,4
4,0,4
5,0,4
6,0,4
7,0,4
8,0,4
9,0,4
10,0,4
11,0,4
12,0,4
13,0,4
14,0,4
15,0,4
16,0,4
17,0,4
18,0,4
19,0,4
20,0,4
21,0,4
22,0,4
23,0,4
24,0,4
25,0,4
26,0,4
27,0,4
28,0,4
29,0,4
30,0,4
31,0,4
32,0,4
33,0,4
34,0,4
35,0,4
36,0,4
37,0,4
38,0,4
39,0,4
40,0,4
41,0,4
42,0,4
43,0,4
44,0,4
45,0,4
46,0,4
47,0,4
48,0,4
49,0,4
50,0,4
51,0,4
52,0,4
53,0,4
54,0,4
55,0,4
56,0,4
57,0,4
58,0,4
59,0,4
60,0,4
61,0,4
62,0,4
63,0,4
64,0,4
65,0,4
66,0,4
67,0,4
68,0,4
69,0,4
70,0,4
71,0,4
72,0,4
73,0,4
74,0,4
75,0,4
76,0,4
77,0,4
78,0,4
79,0,4
80,0,4
81,0,4
82,0,4
83,0,4
84,0,4
85,0,4
86,0,4
87,0,4
88,0,4
89,0,4
90,0,4
91,0,4
92,0,4
93,0,4
94,0,4
95,0,4
96,0,4
97,0,4
98,0,4
99,0,4
100,0,4
101,0,4
102,0,4
103,0,4
104,0,4
105,0,4
106,0,4
107,0,4
108,0,4
109,0,4
110,0,4
111,0,4
112,0,4
113,0,4
114,0,4
115,0,4
116,0,4
117,0,4
118,0,4
119,0,4
120,0,4
121,0,4
122,0,4
123,0,4
124,0,4
125,0,4
126,0,4
127,0,4
128,0,4
129,0,4
130,0,4
131,0,4
132,0,4
133,0,4
134,0,4
135,0,4
136,0,4
137,0,4
138,0,4
139,0,4
140,0,4
141,0,4
142,0,4
143,0,4
144,0,4
145,0,4
146,0,4
147,0,4
148,0,4
149,0,4
150,0,4
151,0,4
152,0,4
153,0,4
154,0,4
155,0,4
156,0,4
157,0,4
158,0,4
159,0,4
160,0,4
161,0,4
162,0,4
163,0,4
164,0,4
165,0,4
166,0,4
167,0,4
168,0,4
169,0,4
170,0,4
171,0,4
172,0,4
173,0,4
174,0,4
175,0,4
176,0,4
177,0,4
178,0,4
179,0,4
180,0,4
181,0,4
182,0,4
183,0,4
184,0,4
185,0,4
186,0,4
187,0,4
188,0,4
189,0,4
190,0,4
191,0,4
192,0,4
193,0,4
194,0,4
195,0,4
196,0,4
197,0,4
198,0,4
199,0,4
200,0,4
201,0,4
202,0,4
203,0,4
204,0,4
205,0,4
206,0,4
207,0,4
208,0,4
209,0,4
210,0,4
211,0,4
212,0,4
213,0,4
214,1,4
215,1,4
216,1,4
217,1,4
218,1,4
219,1,4
220,1,4
221,1,4
222,1,4
223,1,4
224,1,4
225,1,4
226,1,4
227,1,4
228,1,4
229,1,4
230,1,4
231,1,4
232,1,4
233,1,4
234,1,4
235,1,4
236,1,4
237,1,4
238,1,4
239,1,4
240,1,4
241,1,4
242,1,4
243,1,4
244,1,4
245,1,4
246,1,4
247,1,4
248,1,4
249,1,4
250,1,4
251,1,4
252,1,4
253,1,4
254,1,4
255,1,4
256,1,4
257,1,4
258,1,4
259,1,4
260,1,4
261,1,4
262,1,4
263,1,4
264,1,4
265,1,4
266,1,4
267,1,4
268,1,4
269,1,4
270,2,4
271,2,4
272,2,4
273,2,4
274,2,4
275,2,4
276,2,4
277,2,4
278,2,0
279,2,4
280,2,4
281,2,4
282,2,4
283,2,4
284,2,4
285,2,4
286,2,4
287,2,4
288,2,4
289,2,4
290,2,4
291,2,4
292,2,4
293,2,4
294,2,4
295,2,4
296,2,4
297,2,4
298,2,4
299,2,4
300,2,4
301,2,4
302,2,4
303,2,4
304,2,4
305,2,4
306,2,4
307,2,4
308,1,4
309,1,4
310,1,4
311,1,4
312,1,4
313,1,4
314,1,4
315,1,4
316,1,4
317,1,4
318,1,4
319,1,4
320,1,4
321,1,4
322,1,4
323,1,4
324,1,4
325,1,4
326,1,4
327,1,4
328,1,4
329,1,4
330,1,4
331,1,4
332,1,4
333,1,4
334,1,4
335,1,4
336,1,4
337,1,4
338,1,4
339,1,4
340,1,4
341,1,4
342,1,4
343,1,4
344,1,4
345,1,4
346,1,4
347,1,4
348,1,4
349,1,4
350,1,4
351,1,4
352,1,4
353,1,4
354,1,4
355,1,4
356,1,4
357,1,4
358,1,4
359,1,4
360,1,4
361,1,4
362,1,4
363,1,4
364,1,4
365,1,4
366,1,4
367,1,4
368,0,4
369,0,4
370,0,4
371,0,4
372,0,4
373,0,4
374,0,4
375,0,4
376,0,4
377,0,4
378,0,4
379,0,4
380,0,4
381,0,4
382,0,4
383,0,4
384,0,4
385,0,4
386,0,4
387,0,4
388,0,4
389,0,4
390,0,4
391,0,4
392,0,4
393,0,4
394,0,4
395,0,4
396,0,4
397,0,4
398,0,4
399,0,0
400,0,0
401,0,4
402,0,0
403,0,0
404,0,4
405,0,4
406,0,4
407,0,0
408,0,0
409,0,0
410,0,0
411,0,4
412,0,0
413,0,4
414,0,4
415,0,4
416,0,4
417,0,4
418,0,4
419,0,4
420,0,4
421,0,4
422,0,4
423,0,4
424,0,4
425,0,4
426,0,4
427,0,4
428,0,0
429,0,0
430,0,4
431,0,4
432,0,4
433,0,0
434,0,0
435,0,0
436,0,0
437,0,4
438,0,0
439,0,2
440,0,2
441,0,2
442,0,2
443,0,4
444,0,2
445,0,0
446,0,2
447,0,2
448,0,2
449,0,2
450,0,2
451,0,2
452,0,2
453,0,2
454,0,2
455,0,2
456,0,2
457,0,2
458,0,2
459,0,2
460,0,2
461,0,2
462,0,2
463,0,2
464,0,2
465,0,2
466,0,2
467,0,2
468,0,2
469,0,2
470,0,2
471,0,2
472,0,2
473,0,2
474,0,2
475,0,2
476,0,2
477,0,2
478,0,2
479,0,2
480,0,2
481,0,2
482,0,2
483,0,2
484,0,2
485,0,2
486,0,2
487,0,2
488,0,2
489,0,2
490,0,2
491,0,2
492,0,2
493,0,2
494,0,2
495,0,2
496,0,2
497,0,2
498,0,2
499,0,0
